0.003353595733642578,11.37,2.75,-1.82,4.59
0.01608443260192871,2.98,-0.73,-1.87,3.53
0.08483242988586426,0.16,3.25,-1.92,2.61
0.08661413192749023,0.87,2.47,-1.94,2.33
0.12476325035095215,0.91,1.76,-1.96,2.15
0.1272740364074707,-0.74,-2.10,-1.91,2.01
0.17360663414001465,1.99,4.70,-2.11,2.05
0.2160813808441162,2.45,-1.79,-2.06,2.36
0.2756366729736328,5.35,3.99,-2.12,2.82
0.2810819149017334,8.35,2.00,-2.17,3.09
0.32483792304992676,6.52,0.49,-2.13,3.17
0.3273305892944336,7.14,-0.17,-2.10,3.16
0.37057971954345703,1.55,1.29,-2.22,2.91
0.39232802391052246,1.28,0.40,-2.17,2.84
0.4360775947570801,2.11,2.35,-2.06,2.80
0.43985581398010254,3.19,3.86,-2.05,2.78
0.4773256778717041,6.75,0.63,-2.00,2.85
0.48357486724853516,5.00,0.08,-1.94,2.81
0.49424147605895996,2.44,0.64,-1.87,2.69
0.5310778617858887,4.90,4.99,-1.88,2.55
0.5722591876983643,3.11,1.12,-1.93,2.34
0.5747663974761963,1.65,-3.55,-2.05,2.20
0.6248257160186768,3.98,4.74,-2.31,2.09
0.6323244571685791,2.59,4.09,-2.44,2.08
0.6660761833190918,4.36,-3.43,-2.50,2.07
0.7010750770568848,2.28,4.88,-2.39,1.70
0.7460741996765137,1.48,2.22,-2.49,1.54
0.7496581077575684,1.04,0.15,-2.48,1.52
0.7872037887573242,1.52,-0.15,-2.37,1.49
0.8314774036407471,2.08,2.37,-2.15,1.43
0.834822416305542,1.56,1.87,-2.10,1.41
0.8722560405731201,0.38,-3.11,-1.98,1.37
0.9010725021362305,1.49,4.82,-1.99,1.39
0.9348220825195312,3.58,3.18,-2.02,1.48
0.9410717487335205,1.86,-1.39,-1.97,1.48
1.0094637870788574,2.39,4.73,-2.06,1.41
1.0122437477111816,2.84,3.69,-2.13,1.32
1.028458833694458,2.19,-0.68,-2.04,1.20
1.0760762691497803,0.63,4.47,-1.89,1.04
1.1184806823730469,0.95,4.29,-1.79,1.11
1.1223435401916504,3.10,-3.01,-1.54,1.20
1.1623203754425049,4.17,3.72,-1.30,1.14
1.1960694789886475,4.08,1.30,-1.24,1.02
1.202319622039795,0.45,-1.59,-1.14,0.85
1.264817237854004,1.96,3.14,-1.04,0.59
1.2735674381256104,3.23,1.64,-1.06,0.49
1.29231858253479,1.73,-3.44,-0.98,0.35
1.3396623134613037,1.74,1.45,-1.01,0.07
1.3734159469604492,1.14,3.37,-1.10,-0.01
1.4060208797454834,-0.56,0.68,-1.12,-0.12
1.447317361831665,1.46,2.49,-1.40,-0.04
