738054.75646,-3.31,1.87 
738054.75646,-3.50,2.89 
738054.75646,-1.49,5.65 
738054.756461,-2.54,3.76 
738054.756461,0.86,4.97 
738054.756462,0.09,4.26 
738054.756462,-0.88,0.09 
738054.756463,-0.53,2.80 
738054.756463,-2.08,0.73 
738054.756463,-0.11,4.27 
738054.756464,-1.12,5.08 
738054.756464,0.03,5.82 
738054.756465,0.06,7.51 
738054.756465,0.23,4.84 
738054.756467,-0.79,5.00 
738054.756467,-1.03,2.92 
738054.756467,-0.88,1.29 
738054.756467,-0.92,4.21 
738054.756467,-0.62,4.55 
738054.756468,0.82,3.70 
738054.756468,0.18,0.37 
738054.756468,-1.93,-0.51 
738054.756469,-1.75,0.23 
738054.756469,-3.04,-1.28 
738054.75647,-2.57,-0.26 
738054.75647,0.56,2.58 
738054.756471,-0.80,5.97 
738054.756471,-0.43,5.97 
738054.756471,1.49,4.79 
738054.756472,-0.72,3.95 
738054.756472,-1.64,9.47 
738054.756473,-3.53,15.07 
738054.756473,-4.28,23.64 
738054.756473,-1.04,29.66 
738054.756474,-0.81,35.18 
738054.756474,-0.11,41.79 
738054.756475,-3.35,47.74 
738054.756475,-4.09,53.78 
738054.756476,-8.81,60.18 
738054.756476,-8.52,66.46 
738054.756476,-8.66,70.69 
738054.756477,-18.20,76.56 
738054.756477,-18.91,78.18 
738054.756478,-43.99,82.61 
738054.756478,-100.04,85.70 
738054.756479,-150.15,84.34 
738054.756479,-158.72,80.71 
738054.756479,-154.18,79.59 
738054.75648,-147.47,74.42 
738054.75648,-156.35,78.46 
738054.756481,-159.56,79.99 
738054.756481,-147.54,85.25 
738054.756481,-119.88,87.97 
738054.756482,-132.30,83.84 
738054.756482,-79.22,85.76 
738054.756483,-69.83,85.38 
738054.756483,-26.98,81.04 
738054.756483,-12.63,76.91 
738054.756484,-9.66,72.71 
738054.756484,-16.15,70.55 
738054.756485,-10.60,63.70 
738054.756485,-10.32,59.44 
738054.756486,-9.19,55.89 
738054.756486,-6.39,50.85 
738054.756486,-3.27,45.14 
738054.756487,-5.78,42.62 
738054.756487,-3.42,36.29 
738054.756488,-7.18,34.66 
738054.756488,-1.96,30.48 
738054.756489,-2.16,25.83 
738054.756489,-1.43,17.34 
738054.756489,-1.78,13.89 
738054.75649,-1.10,7.38 
738054.75649,0.47,2.45 
738054.756491,-0.74,-0.03 
738054.756491,-0.45,-0.24 
738054.756491,-0.66,-4.02 
738054.756492,-0.16,-5.22 
738054.756492,-0.56,0.60 
738054.756493,-2.75,-0.07 
738054.756493,0.58,2.56 
738054.756493,2.24,3.43 
738054.756494,2.65,5.81 
738054.756494,1.65,5.55 
738054.756495,0.80,1.79 
738054.756495,0.70,10.20 
738054.756495,0.30,9.78 
738054.756496,3.14,8.02 
738054.756496,0.87,3.60 
738054.756497,1.86,0.65 
738054.756497,0.89,-7.90 
738054.756498,2.05,-19.50 
738054.756498,0.74,-30.60 
738054.756498,2.64,-41.29 
738054.756499,2.11,-47.38 
738054.756499,3.63,-53.72 
738054.7565,1.57,-71.33 
738054.7565,-5.39,-79.65 
738054.756501,-9.75,-70.66 
738054.756501,10.48,-72.78 
738054.756501,-3.42,-74.86 
738054.756502,-9.36,-80.60 
738054.756502,-25.53,-81.71 
738054.756503,-102.72,-89.12 
738054.756503,171.91,-87.45 
738054.756503,124.65,-88.94 
738054.756504,-174.69,-86.51 
738054.756504,-167.42,-85.26 
738054.756505,-159.88,-84.37 
738054.756505,119.18,-88.81 
738054.756506,-0.71,-88.84 
738054.756506,24.46,-86.11 
738054.756506,1.82,-84.23 
738054.756507,-4.03,-85.71 
738054.756507,34.34,-85.24 
738054.756508,0.00,-87.82 
738054.756508,14.08,-81.89 
738054.756509,-2.30,-84.85 
738054.756509,-2.33,-82.23 
738054.756509,-4.77,-74.47 
738054.75651,-6.13,-72.09 
738054.75651,0.25,-55.87 
738054.756511,-12.73,-58.40 
738054.756511,-8.86,-44.22 
738054.756511,-7.88,-32.45 
738054.756512,-5.73,-22.73 
738054.756512,-1.74,-9.33 
738054.756513,-2.23,-0.76 
738054.756513,-0.05,0.96 
738054.756513,0.95,3.49 
738054.756514,2.41,4.27 
738054.756514,0.68,3.94 
738054.756515,0.93,3.28 
738054.756515,0.81,-2.58 
738054.756516,1.16,-0.41 
738054.756516,-0.05,-0.42 
738054.756516,0.82,-0.32 
738054.756517,-0.19,-0.49 
738054.756517,1.48,0.83 
738054.756518,-0.26,-1.54 
738054.756518,1.07,0.95 
738054.756519,2.20,-3.00 
738054.756519,1.77,2.59 
738054.756519,0.95,6.77 
738054.75652,-0.98,18.59 
738054.75652,-1.26,23.77 
738054.756521,-2.59,33.00 
738054.756521,-3.42,40.52 
738054.756521,-7.81,49.94 
738054.756522,-6.23,54.97 
738054.756522,-9.54,63.42 
738054.756523,-8.28,72.21 
738054.756523,-3.50,74.52 
738054.756524,-21.42,83.57 
738054.756524,-43.71,84.06 
738054.756524,-82.26,86.71 
738054.756525,-82.09,84.71 
738054.756525,-142.79,82.58 
738054.756526,-132.26,84.77 
738054.756526,-155.52,83.65 
738054.756526,-153.82,83.81 
738054.756527,-159.44,86.47 
738054.756527,-158.38,84.94 
738054.756528,-142.77,84.16 
738054.756528,-113.20,86.93 
738054.756528,-93.56,85.05 
738054.756529,-35.60,83.07 
738054.756529,-17.24,78.40 
738054.75653,-7.94,74.35 
738054.75653,-13.97,73.11 
738054.756531,-7.29,67.54 
738054.756531,-7.87,62.01 
