738054.776244,0.43,4.29 
738054.776244,-0.14,6.08 
738054.776244,4.37,6.83 
738054.776245,2.37,5.87 
738054.776245,-2.08,-0.33 
738054.776246,-2.25,2.88 
738054.776246,-4.87,4.79 
738054.776246,-1.81,9.66 
738054.776247,-3.19,9.32 
738054.776247,-1.81,8.14 
738054.776248,0.75,5.07 
738054.776248,1.44,7.13 
738054.776248,-0.40,4.65 
738054.776249,-0.15,5.04 
738054.77625,-1.07,4.65 
738054.77625,-1.49,3.40 
738054.77625,0.39,5.06 
738054.776251,-1.17,6.60 
738054.776251,0.80,4.70 
738054.776252,1.97,8.31 
738054.776252,0.87,1.88 
738054.776252,2.21,5.68 
738054.776253,-0.15,0.02 
738054.776253,-0.17,1.36 
738054.776253,0.62,6.62 
738054.776254,2.21,4.70 
738054.776254,3.13,2.20 
738054.776255,2.27,3.32 
738054.776255,0.16,1.92 
738054.776256,0.24,2.28 
738054.776256,-0.53,0.53 
738054.776256,1.64,3.85 
738054.776257,0.90,0.19 
738054.776257,1.17,2.45 
738054.776258,1.51,-3.37 
738054.776258,2.10,-3.73 
738054.776259,-1.17,-6.47 
738054.776259,1.36,-7.54 
738054.776259,1.19,-6.94 
738054.77626,0.00,-2.71 
738054.77626,0.29,-1.92 
738054.77626,-2.68,-5.82 
738054.776261,3.84,-5.55 
738054.776261,2.68,-13.69 
738054.776262,1.30,-25.45 
738054.776262,4.49,-29.32 
738054.776263,-1.89,-43.96 
738054.776263,1.62,-37.20 
738054.776264,0.37,-30.54 
738054.776264,-0.82,-35.62 
738054.776264,2.61,-32.67 
738054.776265,3.03,-33.32 
738054.776265,2.51,-34.40 
738054.776266,1.53,-39.43 
738054.776266,3.14,-40.49 
738054.776266,4.31,-40.27 
738054.776267,2.54,-40.91 
738054.776267,2.53,-39.20 
738054.776268,2.29,-42.50 
738054.776268,3.95,-36.28 
738054.776269,-0.47,-43.38 
738054.776269,-0.31,-48.72 
738054.776269,3.96,-51.99 
738054.77627,3.12,-54.76 
738054.77627,3.36,-53.92 
738054.77627,0.23,-63.87 
738054.776271,7.24,-55.05 
738054.776271,3.95,-64.07 
738054.776272,2.16,-65.76 
738054.776272,3.88,-67.42 
738054.776273,0.00,-76.37 
738054.776273,2.98,-75.85 
738054.776273,6.80,-74.40 
738054.776274,1.82,-80.39 
738054.776274,8.09,-77.84 
738054.776275,-4.48,-86.43 
738054.776275,-6.60,-85.61 
738054.776275,169.84,-86.84 
738054.776276,142.13,-86.72 
738054.776276,-14.31,-87.19 
738054.776277,171.39,-87.01 
738054.776277,70.64,-88.26 
738054.776278,-165.66,-86.86 
738054.776278,104.41,-87.93 
738054.776279,-166.41,-84.62 
738054.776279,146.95,-86.38 
738054.776279,59.29,-86.18 
738054.77628,-173.44,-86.91 
738054.77628,27.47,-80.19 
738054.776281,40.19,-87.91 
738054.776281,64.20,-87.26 
738054.776282,8.28,-86.38 
738054.776282,34.47,-85.27 
738054.776282,24.52,-83.06 
738054.776283,-4.38,-82.65 
738054.776283,12.31,-76.13 
738054.776283,7.04,-77.00 
738054.776284,8.51,-71.59 
738054.776284,4.72,-66.90 
738054.776285,4.00,-72.53 
738054.776285,9.79,-70.79 
738054.776285,-0.37,-68.73 
738054.776286,4.73,-63.21 
738054.776286,0.70,-67.26 
738054.776287,4.56,-46.27 
738054.776287,0.47,-47.01 
738054.776288,1.94,-44.41 
738054.776288,2.90,-33.11 
738054.776288,-2.43,-37.05 
738054.776289,4.21,-30.89 
738054.776289,2.25,-31.53 
738054.77629,1.01,-28.44 
738054.77629,6.06,-17.43 
738054.77629,0.58,-26.15 
738054.776291,5.05,-23.80 
738054.776291,1.56,-17.77 
738054.776292,0.63,-19.77 
738054.776292,2.46,-11.90 
738054.776293,1.92,-11.44 
738054.776293,1.43,-2.53 
738054.776293,3.30,-2.94 
738054.776294,3.01,-2.62 
738054.776294,2.14,1.38 
738054.776295,0.45,-2.83 
738054.776295,1.56,-1.44 
738054.776296,0.94,-0.32 
738054.776296,0.72,3.94 
738054.776296,-1.43,8.24 
738054.776297,3.86,13.55 
738054.776297,8.21,-10.17 
738054.776298,1.45,6.86 
738054.776298,-2.56,5.40 
738054.776298,-3.94,-1.74 
738054.776299,-0.77,2.63 
738054.776299,2.08,1.26 
738054.7763,-0.44,1.02 
738054.7763,0.85,4.25 
738054.7763,0.13,3.91 
738054.776301,0.57,1.74 
738054.776301,-1.26,4.38 
738054.776302,-3.34,4.20 
738054.776302,-1.10,0.55 
738054.776303,1.11,-2.98 
738054.776303,-4.32,7.39 
738054.776303,-2.67,5.38 
738054.776304,1.60,6.80 
738054.776304,-1.51,18.66 
738054.776305,-2.06,25.91 
738054.776305,1.70,30.64 
738054.776306,3.36,35.49 
738054.776306,1.23,38.55 
738054.776306,1.97,45.26 
738054.776307,5.52,46.93 
738054.776307,1.83,47.97 
738054.776308,4.65,50.84 
738054.776308,2.32,61.27 
738054.776308,0.29,59.39 
738054.776309,7.99,59.01 
738054.776309,3.24,64.10 
738054.77631,2.53,63.98 
738054.77631,3.85,69.00 
738054.77631,3.82,71.98 
738054.776311,8.85,73.66 
738054.776311,-5.19,82.03 
738054.776312,0.51,83.49 
738054.776312,11.97,83.88 
738054.776313,11.31,83.09 
738054.776313,49.57,87.07 
738054.776313,37.06,85.98 
738054.776314,52.95,85.99 
738054.776314,90.42,88.29 
738054.776315,116.82,87.39 
738054.776315,131.37,88.09 
738054.776315,146.12,86.55 
738054.776316,80.54,87.40 
738054.776316,18.27,86.92 
738054.776317,9.23,83.14 
738054.776317,6.98,75.96 
738054.776318,4.62,74.84 
738054.776318,4.06,73.58 
738054.776318,1.30,73.89 
738054.776319,5.77,66.51 
738054.776319,1.02,60.61 
738054.77632,-1.32,60.90 
738054.77632,-0.21,55.16 
738054.776321,0.91,46.39 
738054.776321,-0.81,43.10 
738054.776321,-2.33,34.96 
738054.776322,-0.55,28.61 
738054.776322,-0.11,22.61 
738054.776323,-2.99,18.99 
738054.776323,0.66,9.03 
738054.776323,-0.83,8.45 
738054.776324,0.66,-1.88 
738054.776324,3.05,-7.32 
738054.776325,-3.40,-12.52 
738054.776325,-0.68,-21.01 
738054.776326,0.34,-21.39 
738054.776326,-1.06,-21.93 
738054.776326,2.96,-18.97 
738054.776327,2.34,-15.16 
738054.776327,1.08,-10.36 
738054.776328,2.35,-9.51 
738054.776328,1.87,-7.48 
738054.776328,-1.01,-4.33 
738054.776329,1.08,-6.65 
738054.776329,1.39,-6.17 
738054.77633,1.34,-6.64 
738054.77633,1.32,-6.83 
738054.77633,3.40,-4.25 
738054.776331,2.87,1.69 
738054.776331,4.34,1.54 
738054.776332,2.44,4.50 
738054.776332,0.41,12.32 
738054.776333,0.37,16.80 
738054.776333,2.62,14.68 
738054.776333,3.42,9.81 
738054.776334,4.84,4.86 
738054.776334,4.55,9.53 
738054.776335,4.82,8.05 
738054.776335,4.29,7.95 
738054.776336,2.01,9.24 
738054.776336,4.91,8.78 
738054.776337,3.29,11.42 
738054.776337,-1.70,7.25 
738054.776337,2.57,0.96 
738054.776338,2.02,-10.02 
738054.776338,3.32,-16.07 
738054.776338,0.00,-29.14 
738054.776339,7.27,-34.17 
738054.776339,4.13,-36.02 
738054.77634,2.28,-44.00 
738054.77634,6.93,-58.09 
738054.77634,7.67,-55.92 
738054.776341,0.49,-45.49 
738054.776341,8.71,-67.62 
738054.776342,12.76,-70.72 
738054.776342,8.69,-67.76 
738054.776343,3.43,-66.95 
738054.776343,32.64,-81.48 
738054.776343,74.29,-86.77 
738054.776344,154.14,-82.60 
738054.776344,175.73,-77.19 
738054.776345,177.48,-76.07 
738054.776345,170.68,-75.23 
738054.776346,175.56,-75.73 
738054.776346,173.26,-80.96 
738054.776346,173.73,-79.73 
738054.776347,177.85,-78.88 
738054.776347,-179.53,-76.77 
738054.776348,173.04,-75.52 
738054.776348,162.59,-78.56 
738054.776348,171.55,-81.02 
738054.776349,165.10,-78.25 
738054.776349,168.30,-80.95 
738054.77635,162.52,-82.29 
738054.77635,178.27,-78.57 
738054.77635,172.16,-82.94 
738054.776351,167.08,-86.24 
738054.776351,168.19,-82.59 
738054.776352,38.98,-85.49 
738054.776352,20.52,-82.43 
738054.776353,3.59,-71.41 
738054.776353,2.10,-70.02 
738054.776353,3.01,-65.21 
738054.776354,1.95,-58.49 
738054.776354,1.83,-55.07 
738054.776355,5.97,-43.45 
738054.776355,6.12,-37.05 
738054.776356,3.07,-32.17 
738054.776356,3.95,-24.78 
738054.776356,4.28,-24.64 
738054.776357,3.77,-15.62 
738054.776357,4.15,-12.28 
738054.776358,3.60,-11.54 
738054.776358,5.05,-9.54 
738054.776358,3.56,-9.99 
738054.776359,3.75,-11.54 
738054.776359,1.75,-11.83 
738054.77636,3.67,-12.94 
