-10,6.19
-15,8.17
-20,12.36
-25,13.42
-30,17.57
-35,18.82
-40,22.70
-45,23.94
-50,28.33
-55,29.79
-60,33.37
-65,35.57
-70,39.53
-75,41.32
-80,45.88
-85,46.60
0,1.51
-6,2.38
-4,2.55
-2,3.67
-8,3.57
2,-1.39
4,-1.53
6,-0.49
8,-1.47
10,-4.65
15,-5.66
20,-9.15
25,-10.92
30,-14.35
35,-16.30
40,-19.50
45,-20.69
50,-24.65
55,-25.78
60,-29.95
65,-31.28
70,-35.26
75,-36.66
80,-41.03
85,-42.12
