-3.92,0.08,63,300 
-3.92,0.07,63,300 
-3.92,0.06,63,300 
-3.92,0.05,63,300 
-3.92,0.06,63,300 
-3.92,0.05,63,300 
-3.92,0.06,63,300 
-3.92,0.07,63,300 
-3.92,0.08,63,300 
-3.91,0.10,63,300 
-3.90,0.12,63,300 
-3.90,0.13,63,300 
-3.90,0.14,63,300 
-3.89,0.14,63,300 
-3.90,0.13,63,300 
-3.89,0.13,63,300 
-3.90,0.12,63,300 
-3.90,0.11,63,300 
-3.91,0.11,63,300 
-3.92,0.11,63,300 
-3.92,0.11,63,300 
-3.93,0.12,63,300 
-3.92,0.13,63,300 
-3.92,0.12,63,300 
-3.91,0.12,63,300 
-3.90,0.11,63,300 
-3.89,0.12,63,300 
-3.88,0.13,63,300 
-3.87,0.13,63,300 
-3.86,0.14,63,300 
-3.87,0.15,63,300 
-3.86,0.17,63,300 
-3.86,0.17,63,300 
-3.85,0.17,63,300 
-3.85,0.15,63,300 
-3.84,0.12,63,300 
-3.83,0.11,63,300 
-3.84,0.10,63,300 
-3.83,0.12,63,300 
-3.83,0.13,63,300 
-3.83,0.14,63,300 
-3.84,0.14,63,300 
-3.83,0.13,63,300 
-3.83,0.07,63,300 
-3.88,-0.01,63,300 
-3.92,-0.10,63,300 
-3.96,-0.20,63,300 
-4.02,-0.32,63,300 
-4.09,-0.44,63,300 
-4.18,-0.57,63,300 
-4.27,-0.71,63,300 
-4.37,-0.85,63,300 
-4.46,-1.00,63,300 
-4.56,-1.16,63,300 
-4.65,-1.33,63,300 
-4.75,-1.51,63,300 
-4.84,-1.68,63,300 
-4.95,-1.88,63,300 
-5.04,-2.07,63,300 
-5.15,-2.28,63,300 
-5.26,-2.50,63,300 
-5.37,-2.73,63,300 
-5.48,-2.98,63,300 
-5.60,-3.23,63,300 
-5.73,-3.50,63,300 
-5.89,-3.78,63,300 
-6.04,-4.08,63,300 
-6.16,-4.40,63,300 
-6.26,-4.73,63,300 
-6.35,-5.07,63,300 
-6.41,-5.42,63,300 
-6.47,-5.79,63,300 
-6.52,-6.15,63,300 
-6.55,-6.52,63,300 
-6.58,-6.91,63,300 
-6.60,-7.30,63,300 
-6.61,-7.69,63,300 
-6.65,-8.12,63,300 
-6.70,-8.59,63,300 
-6.79,-9.02,63,300 
-6.98,-9.45,63,300 
-7.17,-9.91,63,300 
-7.36,-10.36,63,300 
-7.52,-10.84,63,300 
-7.67,-11.31,63,300 
-7.81,-11.78,63,300 
-7.96,-12.26,63,300 
-8.10,-12.75,63,300 
-8.24,-13.24,63,300 
-8.36,-13.73,63,300 
-8.50,-14.21,63,300 
-8.62,-14.70,63,300 
-8.76,-15.18,63,300 
-8.89,-15.66,63,300 
-9.02,-16.13,63,300 
-9.15,-16.61,63,300 
-9.28,-17.08,63,300 
-9.41,-17.56,63,300 
-9.52,-18.03,63,300 
-9.63,-18.49,63,300 
-9.73,-18.95,63,300 
-9.84,-19.40,63,300 
-9.96,-19.84,63,300 
-10.07,-20.26,63,300 
-10.19,-20.67,63,300 
-10.31,-21.07,63,300 
-10.44,-21.46,63,300 
-10.58,-21.83,63,300 
-10.72,-22.20,63,300 
-10.88,-22.55,63,300 
-11.05,-22.89,63,300 
-11.21,-23.21,63,300 
-11.38,-23.53,63,300 
-11.55,-23.82,63,300 
-11.73,-24.10,63,300 
-11.90,-24.36,63,300 
-12.09,-24.60,63,300 
-12.27,-24.83,63,300 
-12.45,-25.02,63,300 
-12.62,-25.20,63,300 
-12.77,-25.35,63,300 
-12.92,-25.48,63,300 
-13.05,-25.58,63,300 
-13.18,-25.66,63,300 
-13.29,-25.72,63,300 
-13.40,-25.76,63,300 
-13.49,-25.77,63,300 
-13.58,-25.76,63,300 
-13.65,-25.73,63,300 
-13.71,-25.67,63,300 
-13.76,-25.59,63,300 
-13.79,-25.49,63,300 
-13.82,-25.37,63,300 
-13.83,-25.23,63,300 
-13.83,-25.06,63,300 
-13.83,-24.88,63,300 
-13.80,-24.66,63,300 
-13.77,-24.43,63,300 
-13.72,-24.18,63,300 
-13.66,-23.91,63,300 
-13.59,-23.62,63,300 
-13.51,-23.32,63,300 
-13.41,-22.99,63,300 
-13.31,-22.66,63,300 
-13.21,-22.30,63,300 
-13.09,-21.94,63,300 
-12.96,-21.56,63,300 
-12.81,-21.16,63,300 
-12.66,-20.77,63,300 
-12.52,-20.37,63,300 
-12.37,-19.95,63,300 
-12.22,-19.52,63,300 
-12.06,-19.08,63,300 
-11.90,-18.62,63,300 
-11.74,-18.17,63,300 
-11.59,-17.72,63,300 
-11.45,-17.27,63,300 
-11.30,-16.81,63,300 
-11.16,-16.36,63,300 
-11.02,-15.90,63,300 
-10.88,-15.44,63,300 
-10.75,-14.98,63,300 
-10.61,-14.52,63,300 
-10.48,-14.06,63,300 
-10.34,-13.60,63,300 
-10.19,-13.15,63,300 
-10.03,-12.69,63,300 
-9.88,-12.24,63,300 
-9.73,-11.81,63,300 
-9.58,-11.37,63,300 
-9.44,-10.94,63,300 
-9.31,-10.51,63,300 
-9.17,-10.09,63,300 
-9.02,-9.68,63,300 
-8.86,-9.30,63,300 
-8.70,-8.94,63,300 
-8.55,-8.58,63,300 
-8.39,-8.24,63,300 
-8.23,-7.90,63,300 
-8.07,-7.59,63,300 
-7.90,-7.28,63,300 
-7.73,-6.99,63,300 
-7.54,-6.70,63,300 
-7.35,-6.44,63,300 
-7.17,-6.19,63,300 
-6.98,-5.93,63,300 
-6.78,-5.68,63,300 
-6.56,-5.45,63,300 
-6.34,-5.23,63,300 
