gyro_x	gyro_y	gyro_z	acc_x	acc_y	acc_z
-13035	765	1958	6080	-1088	-14912
-13930	-1483	-4991	6336	2560	-14464
-10099	-665	205	5056	6464	-13056
-11472	-1888	3393	5248	7360	-12032
-12656	1604	993	6400	9088	-11328
-11133	2274	121	6400	10944	-8960
-13775	-2409	10601	8704	13504	-7296
-12820	-4420	7204	8192	13056	-2304
-11083	-3638	4547	8320	13504	-1088
-7367	-1902	3266	10944	13440	-64
-1081	-776	1398	11008	12800	960
-1219	-414	232	11584	11264	1856
-3218	-231	1178	11904	11392	3776
-7545	-1778	3470	12544	10880	3264
-3561	-1125	3648	14976	9984	5888
-3147	-2265	1541	13120	8192	5504
-8894	-3004	4644	17152	8064	8320
-10516	-3712	4494	15680	5632	6656
-4489	-2868	3294	15808	4032	6336
-5115	-6328	2580	18624	3200	8064
-980	-2365	-1812	16640	3328	4160
-260	-688	2235	16000	3456	4032
-58	-649	-103	14720	2304	4288
-244	189	179	16192	2816	4288
1120	-617	-499	15488	2304	4416
857	-305	-194	15296	2688	4288
1117	-479	-84	16384	3200	4544
423	-377	-692	16256	2944	4672
1605	-884	-560	16064	3200	4480
3509	-1483	-2125	15744	4288	3712
3531	-3293	-3182	16256	3520	3648
8777	-4107	-8242	15872	6656	1536
8727	-3974	-8097	14848	8320	64
8021	-4221	-5900	15552	8576	-896
5914	-4112	-5522	13056	9920	-2816
7703	-4061	-2383	12352	11136	-5440
8985	-3563	-1539	9024	9344	-7616
9849	-3259	-2482	9280	9152	-9408
12382	-809	-1172	8384	7296	-10304
11277	-1672	-1499	8000	5120	-13376
8608	-543	-782	7936	3264	-13952
3529	-1468	1331	8064	1408	-13056
3171	2797	-3799	7360	1344	-13312
2498	-267	-513	8512	1344	-13376
2355	1878	-3804	8448	1088	-13824
1570	4217	-5008	8128	832	-12608
-518	3096	-1531	9536	832	-12416
-245	4874	2096	9472	1920	-12288
7619	8065	-8131	12224	3264	-12928
4692	18273	-4675	16832	6912	-8960
1521	16687	488	13632	2176	-6464
-43	15534	1967	14144	128	-5440
-2269	12759	1199	16320	1664	-1088
-3639	8094	-1172	16832	-448	2112
293	10074	-2734	16704	3456	8000
-1023	5905	-2234	16000	2752	9664
-204	5111	-414	14784	1792	8832
1283	2116	3240	13824	2688	9024
6915	3347	8565	15360	704	10624
-1704	1360	-1792	13184	-1408	9792
614	9357	-6505	15296	3968	14528
6694	9142	2186	9664	2688	13568
-2957	9564	-2562	8256	2432	14784
3051	3871	3644	6784	3264	18944
3467	7270	-3454	4032	3584	16896
1912	7259	-4460	2816	4032	17088
436	1937	2690	576	2176	17216
-26	-795	1453	64	3456	16704
268	-640	4846	-192	3456	17024
-264	-1927	-524	576	2816	18368
-316	-245	1531	-64	3904	17088
-242	-2723	-263	-640	3648	18112
117	-644	3	576	4160	16640
1254	-643	-272	1152	4096	16960
3523	-1078	1262	1856	5952	17024
8385	413	1384	1280	6848	16448
7972	1496	-1755	1408	7232	15488
3172	-1113	-1777	512	8576	15552
4694	-457	-4194	128	10880	15232
6407	-1300	6566	1152	9472	11840
7495	-1929	4317	1280	10880	9728
6934	-3405	2223	-7552	5312	21824
8759	-2912	4174	3648	13440	4928
6493	-3124	373	3072	13952	448
7852	79	-1641	3392	16576	6848
5879	-421	-2400	3264	16064	4096
4630	-229	-2542	2368	15936	1216
5216	-1016	1894	2176	17408	1280
4855	-958	3007	2240	17664	-512
1186	286	-953	2880	16128	-1792
3940	-1629	697	3200	16256	-1536
623	-2460	2240	2880	14336	-3200
-89	-979	-694	3008	16448	-2624
-2092	-856	222	3136	15936	-3456
-3281	-408	1020	3264	16320	-1728
-1359	-50	667	3648	16128	-448
-3085	-127	1153	3456	15040	-448
-6440	140	1896	3904	14208	320
-10034	-1003	3132	4992	14720	1856
-10202	-1458	936	5504	15296	4480
-10512	-1553	953	5952	14976	6848
-8496	-1900	1783	5952	13952	8832
-6295	-1694	1298	6272	12800	10496
-4173	-1087	93	6528	11520	11072
-4742	-1479	677	7232	10880	11520
-3489	-707	-1538	7296	9472	12736
-5533	-1704	-5057	7296	7936	13696
-5432	-2356	-2934	6592	7808	13824
-4993	-3202	-1088	7296	6912	12800
-3223	-3328	-1263	7232	6336	13184
-2638	-1908	-20	7616	5440	13632
-3467	-5903	2738	8448	5056	14464
-5435	-4712	3550	9600	5376	13248
-6079	-4466	3295	9856	3520	12928
-2945	-1994	1071	9984	3648	14400
-1682	-1144	-365	10368	1280	12480
-1469	-2335	1005	11520	896	12736
-1469	-2841	-127	12352	576	13760
-1574	-3502	477	12544	512	12928
-1327	-3913	2111	12160	768	11584
1064	-1641	-128	12608	448	11328
1280	-1418	-686	13440	256	10304
-725	-2411	-854	13440	-64	9728
418	-883	-273	13824	64	9856
149	-434	10	13376	64	8832
36	95	-235	13696	896	9536
-218	-345	391	13760	832	9600
-117	-318	434	13696	320	10048
24	-371	429	13696	576	9536
1393	-314	235	14016	256	9728
183	-445	300	13888	320	9408
495	57	-153	13824	832	9152
-398	230	-274	13760	256	9792
2590	1347	-2154	12736	960	10304
2907	2087	-1794	13120	2112	10496
508	2876	3363	12864	2560	12736
4716	5079	2172	11712	960	11648
7519	10833	8827	9664	3072	12288
1545	6693	3816	9152	3456	12288
-1726	7882	2202	9216	128	14848
4323	3454	2773	7360	3264	18304
-7704	21019	-11990	2752	-64	5632
-5654	511	1831	5056	-960	17984
644	-2296	-843	9216	6656	20544
5558	5660	-5600	5824	-1856	18176
9146	5291	4743	12928	-448	12928
7987	16835	-7389	5248	9792	15744
2843	9091	-1495	1600	6784	15744
2811	-566	2509	-768	8064	13824
-1884	-11435	6363	-320	6720	13504
-8136	-5969	388	1216	4736	15680
-5490	-7022	1330	3840	6400	16960
184	-739	-5579	5312	3968	18368
-460	-6411	-6401	8512	-3328	16832
-5421	-14085	-10737	2816	6464	30272
-3295	1340	-5840	128	6592	14784
-2026	7959	3206	4352	3328	16320
1249	-435	-1592	9664	2944	15296
-2694	-2498	-3742	6336	1792	15360
639	3012	1128	4736	3008	16128
-376	63	128	8256	2496	15488
-368	-2119	-1258	7616	2624	15872
31	902	558	5888	2624	15680
132	-493	128	7744	2752	15424
-37	-1216	-385	7168	2944	15488
136	452	444	6528	2688	15616
7	-485	-60	7424	2688	15488
71	-564	-58	6976	2752	15680
90	68	317	6720	2880	15552
70	-574	-52	7232	2752	15488
74	-368	53	6976	2688	15552
